                                           The SAS System                                          1

                                Contents of Catalog MACROLIB.FORMATS
 
        #    Name        Type               Create Date          Modified Date    Description
       --------------------------------------------------------------------------------------
        1    AMOUNTS     FORMAT      28OCT2002:15:16:27     28OCT2002:15:16:27               
        2    BINS        FORMAT      28OCT2002:15:16:28     28OCT2002:15:16:28               
        3    CREDIT      FORMAT      28OCT2002:15:16:28     28OCT2002:15:16:28               
        4    DAYS        FORMAT      28OCT2002:15:16:28     28OCT2002:15:16:28               
        5    TIMERNGE    FORMAT      28OCT2002:15:16:27     28OCT2002:15:16:27               
        6    WEEKDAYS    FORMAT      28OCT2002:15:16:27     28OCT2002:15:16:27               
        7    ACVV        FORMATC     28OCT2002:15:16:27     28OCT2002:15:16:27               
        8    ADVICE      FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
        9    APIN        FORMATC     28OCT2002:15:16:27     28OCT2002:15:16:27               
       10    ASSOC       FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       11    ATM_NET     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       12    ATYPE       FORMATC     28OCT2002:15:16:27     28OCT2002:15:16:27               
       13    AVS_RE      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       14    BLANK       FORMATC     28OCT2002:15:16:27     28OCT2002:15:16:27               
       15    CAIPDYN     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       16    CAIPIAA     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       17    CAIPRSK     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       18    CAIPSTA     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       19    CAIPVER     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       20    CASHSIC     FORMATC     28OCT2002:15:16:27     28OCT2002:15:16:27               
       21    CMEDIA      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       22    CON_MD      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       23    COUNTRY     FORMATC     28OCT2002:15:16:29     28OCT2002:15:16:29               
       24    CVV2_P      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       25    CVV2_R      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       26    DECISN      FORMATC     28OCT2002:15:16:27     28OCT2002:15:16:27               
       27    EMPTY       FORMATC     28OCT2002:15:16:29     28OCT2002:15:16:29               
       28    FMETHOD     FORMATC     23JUL2003:17:55:37     23JUL2003:17:55:37               
       29    FRD_TRX     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       30    FTYPE       FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       31    GENDER      FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       32    INCENTV     FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       33    ISSUE       FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       34    ITYPE       FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       35    METHOD      FORMATC     28OCT2002:15:16:29     28OCT2002:15:16:29               
       36    MISSING     FORMATC     28OCT2002:15:16:27     28OCT2002:15:16:27               
       37    MTM_ETY     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       38    MTM_TP      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       39    NTYPE       FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       40    PAY_TP      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       41    POSMODE     FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       42    POS_CON     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       43    PTYPE       FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       44    RES_MD      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       45    REVERSE     FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       46    SICFMT      FORMATC     28OCT2002:15:16:29     28OCT2002:15:16:29               
       47    SSN5DIG     FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       48    TRAN_CA     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       49    TTYPE       FORMATC     28OCT2002:15:16:29     28OCT2002:15:16:29               
       50    USE         FORMATC     28OCT2002:15:16:28     28OCT2002:15:16:28               
       51    VTM_ETY     FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       52    VTM_TP      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       53    V_ALID      FORMATC     22AUG2003:16:01:20     22AUG2003:16:01:20               
       54    YES_NO      FORMATC     28OCT2002:15:16:29     28OCT2002:15:16:29               
